LOCATION,latitude,longitude,incidence,RISK,100,cfr,Z,NEW CASES,TOTAL CASES,NEW DEATHS,TOTAL DEATHS,rank
Andorra,42.5063,1.5218,1193.2958,0,0,5.071770335,0,0,1045,0,53,1
Antigua and Barbuda,17.0608,-61.7964,92.92541459,0,0,3.191489362,0,0,94,0,3,1
Australian Capital Territory|Australia,-35.4735,149.0124,26.39570194,0,0,2.654867257,0,0,113,0,3,1
Northern Territory|Australia,-12.4634,130.8456,12.62214984,0,0,0,0,0,33,0,0,1
South Australia|Australia,-34.9285,138.6007,25.56219755,0,0,0.865800866,0,0,462,0,4,1
Tasmania|Australia,-41.4545,145.9707,#N/A,0,0,5.652173913,0,0,230,0,13,1
Bahamas,24.25,-76,#N/A,0,0,1.585437463,0,0,1703,0,27,1
Botswana,-22.3285,24.6849,34.18912454,0,0,0.229357798,0,0,1308,0,3,1
Brunei,4.5353,114.7277,32.22982379,0,0,2.097902098,0,0,143,0,3,1
Bulgaria,42.7339,25.4858,164.3533193,0,0,3.56222325,0,0,15131,0,539,1
Burkina Faso,12.2383,-1.5616,5.291036171,0,0,4.240555127,0,0,1297,0,55,1
Cambodia,12.5657,104.991,#N/A,0,0,0,0,0,273,0,0,1
Cameroon,3.848,11.5021,65.00070972,0,0,2.174608251,0,0,18762,0,408,1
Alberta|Canada,53.9333,-116.5765,242.8199747,0,0,1.804204581,0,0,12748,0,230,1
British Columbia|Canada,53.7267,-127.6476,70.26136406,0,0,4.109867752,0,0,4915,0,202,1
Diamond Princess|Canada,0,0,#N/A,0,0,0,0,0,0,0,1,1
Grand Princess|Canada,37.6489,-122.6655,#N/A,0,0,0,0,0,13,0,0,1
New Brunswick|Canada,46.5653,-66.4619,21.79506739,0,0,1.063829787,0,0,188,0,2,1
Newfoundland and Labrador|Canada,53.1355,-57.6604,51.01991887,0,0,1.119402985,0,0,268,0,3,1
Northwest Territories|Canada,64.8255,-124.8457,11.13486549,0,0,0,0,0,5,0,0,1
Prince Edward Island|Canada,46.5107,-63.4168,22.76204808,0,0,0,0,0,44,0,0,1
Yukon|Canada,64.2823,-135,34.08150348,0,0,0,0,0,15,0,0,1
Central African Republic,6.6111,20.9394,95.34627365,0,0,1.303697371,0,0,4679,0,61,1
Anhui|China,31.8257,117.2264,1.567046173,0,0,0.605449041,0,0,991,0,6,1
Beijing|China,40.1824,116.4142,4.331476323,0,0,0.962566845,0,0,935,0,9,1
Chongqing|China,30.0572,107.874,1.879432624,0,0,1.02915952,0,0,583,0,6,1
Gansu|China,36.0611,103.8343,#N/A,0,0,1.183431953,0,0,169,0,2,1
Guangxi|China,23.8298,108.7881,0.517661389,0,0,0.784313725,0,0,255,0,2,1
Guizhou|China,26.8154,106.8748,0.408333333,0,0,1.360544218,0,0,147,0,2,1
Hainan|China,19.1959,109.7453,1.830835118,0,0,3.50877193,0,0,171,0,6,1
Heilongjiang|China,47.862,127.7615,2.509939041,0,0,1.371308017,0,0,948,0,13,1
Henan|China,33.882,113.614,1.328474753,0,0,1.724137931,0,0,1276,0,22,1
Hubei|China,30.9756,112.2707,115.1512591,0,0,6.621758464,0,0,68139,0,4512,1
Hunan|China,27.6104,111.7088,1.477025656,0,0,0.392541708,0,0,1019,0,4,1
Inner Mongolia|China,44.0935,113.9448,1.018153118,0,0,0.384615385,0,0,260,0,1,1
Jiangsu|China,32.9711,119.455,0.813563532,0,0,0,0,0,665,0,0,1
Jiangxi|China,27.614,115.7221,2.005163511,0,0,0.106951872,0,0,935,0,1,1
Jilin|China,43.6661,126.1923,0.580621302,0,0,1.27388535,0,0,157,0,2,1
Liaoning|China,41.2956,122.6085,0.534526267,0,0,0.766283525,0,0,261,0,2,1
Macau|China,22.1667,113.55,7.08409436,0,0,0,0,0,46,0,0,1
Ningxia|China,37.2692,106.1655,1.090116279,0,0,0,0,0,75,0,0,1
Qinghai|China,35.7452,95.9956,0.298507463,0,0,0,0,0,18,0,0,1
Shandong|China,36.3427,118.1498,0.795262267,0,0,0.843373494,0,0,830,0,7,1
Shanghai|China,31.202,121.4491,3.069306931,0,0,0.8,0,0,875,0,7,1
Shanxi|China,37.5777,112.2922,0.540613233,0,0,0,0,0,201,0,0,1
Sichuan|China,30.6171,102.7103,0.724133797,0,0,0.477707006,0,0,628,0,3,1
Tibet|China,31.6927,88.0924,0.029069767,0,0,0,0,0,1,0,0,1
Xinjiang|China,41.1129,85.2401,2.444712505,0,0,0.332594235,0,0,902,0,3,1
Yunnan|China,24.974,101.487,0.395445135,0,0,1.025641026,0,0,195,0,2,1
Zhejiang|China,29.1832,120.0934,2.21370054,0,0,0.078308536,0,0,1277,0,1,1
Amazonas|Colombia,-1.4429,-71.5724,3274.621682,0,0,3.995519044,0,0,2678,0,107,1
Antioquia|Colombia,7.1986,-75.3412,450.2035398,0,0,1.952776192,0,0,68313,0,1334,1
Arauca|Colombia,7.0762,-70.7105,76.28521516,0,0,1.470588235,0,0,748,0,11,1
Atlantico|Colombia,10.6966,-74.8741,2000.854264,0,0,4.504994877,0,0,62464,0,2814,1
Bolivar|Colombia,8.6704,-74.03,851.2108052,0,0,2.889436186,0,0,22738,0,657,1
Boyaca|Colombia,5.4545,-73.362,76.31167363,0,0,2.129221733,0,0,2724,0,58,1
Caldas|Colombia,5.2983,-75.2479,79.43862039,0,0,1.41509434,0,0,2120,0,30,1
Capital District|Colombia,4.711,-74.0721,1284.292106,0,0,2.615321139,0,0,181775,0,4754,1
Caqueta|Colombia,0.8699,-73.8419,203.2434263,0,0,3.063219639,0,0,4603,0,141,1
Casanare|Colombia,5.7589,-71.5724,65.87333295,0,0,2.130325815,0,0,798,0,17,1
Cauca|Colombia,2.705,-76.826,119.2225542,0,0,3.335939536,0,0,3837,0,128,1
Cesar|Colombia,9.3373,-73.6536,240.3850158,0,0,2.295811883,0,0,7187,0,165,1
Choco|Colombia,5.2528,-76.826,548.0287047,0,0,3.5077951,0,0,3592,0,126,1
Cordoba|Colombia,8.0493,-75.574,281.9390368,0,0,6.307168052,0,0,16727,0,1055,1
Cundinamarca|Colombia,5.026,-74.03,264.4686988,0,0,2.760154005,0,0,18441,0,509,1
Guainia|Colombia,2.5854,-68.5247,29.09755996,0,0,7.142857143,0,0,28,0,2,1
Guaviare|Colombia,1.0654,-73.2603,102.6979352,0,0,0,0,0,216,0,0,1
Huila|Colombia,2.5359,-75.5277,70.70246259,0,0,2.436090226,0,0,3325,0,81,1
La Guajira|Colombia,11.3548,-72.5205,229.3994731,0,0,4.523922312,0,0,4222,0,191,1
Magdalena|Colombia,10.4113,-74.4057,432.7197547,0,0,5.201891597,0,0,10996,0,572,1
Meta|Colombia,3.272,-73.0877,237.467323,0,0,1.810584958,0,0,6462,0,117,1
Narino|Colombia,1.2892,-77.3579,459.5876835,0,0,3.534740759,0,0,12363,0,437,1
Norte de Santander|Colombia,7.9463,-72.8988,136.1543861,0,0,5.621621622,0,0,8325,0,468,1
